epi_week,country,state,loc,loc_type,disease,event,number,from_date,to_date,url
32001,189532,US,NJ,HOBOKEN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32002,189532,US,NJ,HOBOKEN,CITY,SCARLET FEVER,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32003,189532,US,NJ,HOBOKEN,CITY,DIPHTHERIA,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32004,189533,US,MI,KALAMAZOO,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32005,189533,US,MA,LOWELL,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32006,189533,US,MA,LOWELL,CITY,SCARLET FEVER,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32007,189533,US,MA,LOWELL,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32008,189533,US,MI,LUDINGTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32009,189533,US,VA,LYNCHBURG,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32010,189533,US,VA,LYNCHBURG,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32011,189520,US,WI,MARINETTE,CITY,SCARLET FEVER,DEATHS,1,1895-05-12,1895-05-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32012,189533,US,MA,MEDFORD,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32013,189532,US,PA,MCKEESPORT,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32014,189533,US,TN,MEMPHIS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
