MMWR_WEEK,WEEK_START,WEEK_END,FLU_RISK_LEVEL,INFLUENZA_SEASON,HOSP_FLU_ICU_WEEKLY,HOSP_FLU_ICU_CUMULATIVE
201540,10/04/2015,10/10/2015,LOW,2015-2016,0,0
201541,10/11/2015,10/17/2015,LOW,2015-2016,1,1
201542,10/18/2015,10/24/2015,LOW,2015-2016,0,1
201543,10/25/2015,10/31/2015,LOW,2015-2016,1,2
201544,11/01/2015,11/07/2015,LOW,2015-2016,1,3
201545,11/08/2015,11/14/2015,LOW,2015-2016,2,5
201546,11/15/2015,11/21/2015,LOW,2015-2016,1,6
201547,11/22/2015,11/28/2015,LOW,2015-2016,0,6
201548,11/29/2015,12/05/2015,LOW,2015-2016,0,6
201549,12/06/2015,12/12/2015,LOW,2015-2016,0,6
201550,12/13/2015,12/19/2015,LOW,2015-2016,2,8
201551,12/20/2015,12/26/2015,INCREASING,2015-2016,4,12
201552,12/27/2015,01/02/2016,INCREASING,2015-2016,2,14
201601,01/03/2016,01/09/2016,INCREASING,2015-2016,3,17
201602,01/10/2016,01/16/2016,INCREASING,2015-2016,7,24
201603,01/17/2016,01/23/2016,INCREASING,2015-2016,5,29
201604,01/24/2016,01/30/2016,INCREASING,2015-2016,15,44
201605,01/31/2016,02/06/2016,INCREASING,2015-2016,9,53
201606,02/07/2016,02/13/2016,INCREASING,2015-2016,22,75
201607,02/14/2016,02/20/2016,INCREASING,2015-2016,29,104
201608,02/21/2016,02/27/2016,INCREASING,2015-2016,36,140
201609,02/28/2016,03/05/2016,INCREASING,2015-2016,30,170
201610,03/06/2016,03/12/2016,HIGH,2015-2016,37,207
201611,03/13/2016,03/19/2016,HIGH,2015-2016,21,228
201612,03/20/2016,03/26/2016,DECREASING,2015-2016,15,243
201613,03/27/2016,04/02/2016,DECREASING,2015-2016,9,252
201614,04/03/2016,04/09/2016,DECREASING,2015-2016,3,255
201615,04/10/2016,04/16/2016,DECREASING,2015-2016,2,257
