index;GROUP;CODE;NAME;YEAR;DISEASE;DENOMINATOR;INCIDENCE_RATE
7;WHO Regions;afr;African Region;1980;DIPHTHERIA;per 1,000,000 total population;25,0
8;WHO Regions;afr;African Region;1980;YFEVER;per 1,000,000 total population;0,3
9;WHO Regions;afr;African Region;1980;TTETANUS;per 1,000,000 total population;51,0
10;WHO Regions;afr;African Region;1980;PERTUSSIS;per 1,000,000 total population;1180,0
11;WHO Regions;afr;African Region;1980;NTETANUS;per 1000 live births;0,6
12;WHO Regions;afr;African Region;1980;MEASLES;per 1,000,000 total population;3443,8
13;WHO Regions;afr;African Region;1980;POLIO;per 1,000,000 <15 population;30,7
28;WHO Regions;amr;Region of the Americas;1980;MEASLES;per 1,000,000 total population;422,0
29;WHO Regions;amr;Region of the Americas;1980;NTETANUS;per 1000 live births;0,1
30;WHO Regions;amr;Region of the Americas;1980;POLIO;per 1,000,000 <15 population;15,0
31;WHO Regions;amr;Region of the Americas;1980;TTETANUS;per 1,000,000 total population;11,5
32;WHO Regions;amr;Region of the Americas;1980;DIPHTHERIA;per 1,000,000 total population;9,1
33;WHO Regions;amr;Region of the Americas;1980;PERTUSSIS;per 1,000,000 total population;202,5
34;WHO Regions;amr;Region of the Americas;1980;YFEVER;per 1,000,000 total population;0,6
378;WHO Regions;emr;Eastern Mediterranean Region;1980;DIPHTHERIA;per 1,000,000 total population;75,5
379;WHO Regions;emr;Eastern Mediterranean Region;1980;TTETANUS;per 1,000,000 total population;67,1
380;WHO Regions;emr;Eastern Mediterranean Region;1980;YFEVER;per 1,000,000 total population;
381;WHO Regions;emr;Eastern Mediterranean Region;1980;MEASLES;per 1,000,000 total population;1293,1
382;WHO Regions;emr;Eastern Mediterranean Region;1980;POLIO;per 1,000,000 <15 population;109,3
383;WHO Regions;emr;Eastern Mediterranean Region;1980;PERTUSSIS;per 1,000,000 total population;649,7
384;WHO Regions;emr;Eastern Mediterranean Region;1980;NTETANUS;per 1000 live births;0,6
413;WHO Regions;eur;European Region;1980;POLIO;per 1,000,000 <15 population;3,2
414;WHO Regions;eur;European Region;1980;YFEVER;per 1,000,000 total population;
415;WHO Regions;eur;European Region;1980;NTETANUS;per 1000 live births;0,0
416;WHO Regions;eur;European Region;1980;PERTUSSIS;per 1,000,000 total population;170,0
417;WHO Regions;eur;European Region;1980;DIPHTHERIA;per 1,000,000 total population;0,5
418;WHO Regions;eur;European Region;1980;TTETANUS;per 1,000,000 total population;2,8
419;WHO Regions;eur;European Region;1980;MEASLES;per 1,000,000 total population;1053,0
1078;WHO Regions;sear;South-East Asia Region;1980;NTETANUS;per 1000 live births;0,3
1079;WHO Regions;sear;South-East Asia Region;1980;POLIO;per 1,000,000 <15 population;47,6
1080;WHO Regions;sear;South-East Asia Region;1980;PERTUSSIS;per 1,000,000 total population;378,2
1081;WHO Regions;sear;South-East Asia Region;1980;YFEVER;per 1,000,000 total population;
1082;WHO Regions;sear;South-East Asia Region;1980;DIPHTHERIA;per 1,000,000 total population;44,9
1083;WHO Regions;sear;South-East Asia Region;1980;TTETANUS;per 1,000,000 total population;58,9
1084;WHO Regions;sear;South-East Asia Region;1980;MEASLES;per 1,000,000 total population;189,0
1337;WHO Regions;wpr;Western Pacific Region;1980;TTETANUS;per 1,000,000 total population;27,3
1338;WHO Regions;wpr;Western Pacific Region;1980;YFEVER;per 1,000,000 total population;
1339;WHO Regions;wpr;Western Pacific Region;1980;NTETANUS;per 1000 live births;0,7
1340;WHO Regions;wpr;Western Pacific Region;1980;POLIO;per 1,000,000 <15 population;24,8
1341;WHO Regions;wpr;Western Pacific Region;1980;MEASLES;per 1,000,000 total population;1024,4
1342;WHO Regions;wpr;Western Pacific Region;1980;PERTUSSIS;per 1,000,000 total population;633,8
1343;WHO Regions;wpr;Western Pacific Region;1980;DIPHTHERIA;per 1,000,000 total population;11,6
1386;WHO Regions;afr;African Region;1981;MEASLES;per 1,000,000 total population;3672,6
1387;WHO Regions;afr;African Region;1981;PERTUSSIS;per 1,000,000 total population;1084,3
1388;WHO Regions;afr;African Region;1981;NTETANUS;per 1000 live births;0,6
1389;WHO Regions;afr;African Region;1981;TTETANUS;per 1,000,000 total population;55,9
